linie,richtung,kurs,seq_von,seq_nach,fahrweg_id,fw_no,fw_typ,fw_lang,halt_id_von,halt_id_nach
2,1,3,1,2,29829,11,1,BEZI - BTIE für Ausfahrt,1306,1502
2,1,3,2,3,29829,11,1,BEZI - BTIE für Ausfahrt,1502,2657
2,1,3,6,7,29829,11,1,BEZI - BTIE für Ausfahrt,2590,1565
2,1,3,5,6,29829,11,1,BEZI - BTIE für Ausfahrt,2228,2590
2,1,3,4,5,29829,11,1,BEZI - BTIE für Ausfahrt,1528,2228
2,1,3,3,4,29829,11,1,BEZI - BTIE für Ausfahrt,2657,1528
2,1,6,3,4,31058,1,1,FARB - BTIE,2535,2770
2,1,6,2,3,31058,1,1,FARB - BTIE,2818,2535
2,1,6,1,2,31058,1,1,FARB - BTIE,1310,2818
2,1,3,8,9,29829,11,1,BEZI - BTIE für Ausfahrt,2104,2612
2,1,3,7,8,29829,11,1,BEZI - BTIE für Ausfahrt,1565,2104
2,1,9,1,2,28607,15,2,DEP4 - KALK,2251,1906
2,1,5,2,3,29829,11,1,BEZI - BTIE für Ausfahrt,1502,2657
2,1,5,1,2,29829,11,1,BEZI - BTIE für Ausfahrt,1306,1502
2,1,6,9,10,31058,1,1,FARB - BTIE,2250,2248
2,1,6,8,9,31058,1,1,FARB - BTIE,1535,2250
2,1,6,7,8,31058,1,1,FARB - BTIE,2245,1535
2,1,6,6,7,31058,1,1,FARB - BTIE,2253,2245
2,1,6,5,6,31058,1,1,FARB - BTIE,2244,2253
2,1,6,4,5,31058,1,1,FARB - BTIE,2770,2244
2,1,3,13,14,29829,11,1,BEZI - BTIE für Ausfahrt,2651,2788
2,1,3,12,13,29829,11,1,BEZI - BTIE für Ausfahrt,2680,2651
2,1,3,11,12,29829,11,1,BEZI - BTIE für Ausfahrt,2615,2680
2,1,3,10,11,29829,11,1,BEZI - BTIE für Ausfahrt,2689,2615
2,1,3,9,10,29829,11,1,BEZI - BTIE für Ausfahrt,2612,2689
2,1,5,7,8,29829,11,1,BEZI - BTIE für Ausfahrt,1565,2104
2,1,5,6,7,29829,11,1,BEZI - BTIE für Ausfahrt,2590,1565
2,1,5,5,6,29829,11,1,BEZI - BTIE für Ausfahrt,2228,2590
2,1,5,4,5,29829,11,1,BEZI - BTIE für Ausfahrt,1528,2228
2,1,5,3,4,29829,11,1,BEZI - BTIE für Ausfahrt,2657,1528
2,1,2,1,2,28607,15,2,DEP4 - KALK,2251,1906
2,1,9,12,13,31058,1,1,FARB - BTIE,1306,1502
2,1,9,11,12,31058,1,1,FARB - BTIE,1906,1306
2,1,9,10,11,31058,1,1,FARB - BTIE,2248,1906
2,1,9,9,10,31058,1,1,FARB - BTIE,2250,2248
2,1,9,8,9,31058,1,1,FARB - BTIE,1535,2250
2,1,9,7,8,31058,1,1,FARB - BTIE,2245,1535
2,1,9,6,7,31058,1,1,FARB - BTIE,2253,2245
2,1,9,5,6,31058,1,1,FARB - BTIE,2244,2253
2,1,9,4,5,31058,1,1,FARB - BTIE,2770,2244
2,1,9,3,4,31058,1,1,FARB - BTIE,2535,2770
2,1,9,2,3,31058,1,1,FARB - BTIE,2818,2535
2,1,9,1,2,31058,1,1,FARB - BTIE,1310,2818
2,1,6,10,11,31058,1,1,FARB - BTIE,2248,1906
2,1,6,22,23,31058,1,1,FARB - BTIE,2615,2680
2,1,6,21,22,31058,1,1,FARB - BTIE,2689,2615
2,1,6,20,21,31058,1,1,FARB - BTIE,2612,2689
2,1,6,19,20,31058,1,1,FARB - BTIE,2104,2612
2,1,6,18,19,31058,1,1,FARB - BTIE,1565,2104
2,1,6,17,18,31058,1,1,FARB - BTIE,2590,1565
2,1,6,16,17,31058,1,1,FARB - BTIE,2228,2590
2,1,6,15,16,31058,1,1,FARB - BTIE,1528,2228
2,1,6,14,15,31058,1,1,FARB - BTIE,2657,1528
2,1,6,13,14,31058,1,1,FARB - BTIE,1502,2657
2,1,6,12,13,31058,1,1,FARB - BTIE,1306,1502
2,1,6,11,12,31058,1,1,FARB - BTIE,1906,1306
2,1,5,13,14,29829,11,1,BEZI - BTIE für Ausfahrt,2651,2788
2,1,5,12,13,29829,11,1,BEZI - BTIE für Ausfahrt,2680,2651
2,1,5,11,12,29829,11,1,BEZI - BTIE für Ausfahrt,2615,2680
2,1,5,10,11,29829,11,1,BEZI - BTIE für Ausfahrt,2689,2615
2,1,5,9,10,29829,11,1,BEZI - BTIE für Ausfahrt,2612,2689
2,1,5,8,9,29829,11,1,BEZI - BTIE für Ausfahrt,2104,2612
2,1,3,18,19,31058,1,1,FARB - BTIE,1565,2104
2,1,3,17,18,31058,1,1,FARB - BTIE,2590,1565
2,1,3,16,17,31058,1,1,FARB - BTIE,2228,2590
2,1,3,15,16,31058,1,1,FARB - BTIE,1528,2228
2,1,3,14,15,31058,1,1,FARB - BTIE,2657,1528
2,1,3,13,14,31058,1,1,FARB - BTIE,1502,2657
2,1,3,12,13,31058,1,1,FARB - BTIE,1306,1502
2,1,3,11,12,31058,1,1,FARB - BTIE,1906,1306
2,1,3,10,11,31058,1,1,FARB - BTIE,2248,1906
2,1,3,9,10,31058,1,1,FARB - BTIE,2250,2248
2,1,3,8,9,31058,1,1,FARB - BTIE,1535,2250
2,1,3,7,8,31058,1,1,FARB - BTIE,2245,1535
2,1,3,6,7,31058,1,1,FARB - BTIE,2253,2245
2,1,3,5,6,31058,1,1,FARB - BTIE,2244,2253
2,1,3,4,5,31058,1,1,FARB - BTIE,2770,2244
2,1,3,3,4,31058,1,1,FARB - BTIE,2535,2770
2,1,3,2,3,31058,1,1,FARB - BTIE,2818,2535
2,1,3,1,2,31058,1,1,FARB - BTIE,1310,2818
2,1,9,24,25,31058,1,1,FARB - BTIE,2651,2788
2,1,9,23,24,31058,1,1,FARB - BTIE,2680,2651
2,1,9,22,23,31058,1,1,FARB - BTIE,2615,2680
2,1,9,21,22,31058,1,1,FARB - BTIE,2689,2615
2,1,9,20,21,31058,1,1,FARB - BTIE,2612,2689
2,1,9,19,20,31058,1,1,FARB - BTIE,2104,2612
2,1,9,18,19,31058,1,1,FARB - BTIE,1565,2104
2,1,9,17,18,31058,1,1,FARB - BTIE,2590,1565
2,1,9,16,17,31058,1,1,FARB - BTIE,2228,2590
2,1,9,15,16,31058,1,1,FARB - BTIE,1528,2228
2,1,9,14,15,31058,1,1,FARB - BTIE,2657,1528
2,1,9,13,14,31058,1,1,FARB - BTIE,1502,2657
2,1,6,24,25,31058,1,1,FARB - BTIE,2651,2788
2,1,6,23,24,31058,1,1,FARB - BTIE,2680,2651
2,1,2,24,25,31058,1,1,FARB - BTIE,2651,2788
2,1,2,23,24,31058,1,1,FARB - BTIE,2680,2651
