:START_ID,:END_ID,:TYPE,properties:JSON
1306,1502,CONNECTED_BY,"{""linie"": ""2"", ""richtung"": ""1"", ""kurs"": ""3"", ""seq_von"": ""1"", ""seq_nach"": ""2"", ""fahrweg_id"": ""29829"", ""fw_no"": ""11"", ""fw_typ"": ""1"", ""fw_lang"": ""BEZI - BTIE für Ausfahrt""}"
1502,2657,CONNECTED_BY,"{""linie"": ""2"", ""richtung"": ""1"", ""kurs"": ""3"", ""seq_von"": ""2"", ""seq_nach"": ""3"", ""fahrweg_id"": ""29829"", ""fw_no"": ""11"", ""fw_typ"": ""1"", ""fw_lang"": ""BEZI - BTIE für Ausfahrt""}"
2590,1565,CONNECTED_BY,"{""linie"": ""2"", ""richtung"": ""1"", ""kurs"": ""3"", ""seq_von"": ""6"", ""seq_nach"": ""7"", ""fahrweg_id"": ""29829"", ""fw_no"": ""11"", ""fw_typ"": ""1"", ""fw_lang"": ""BEZI - BTIE für Ausfahrt""}"
2228,2590,CONNECTED_BY,"{""linie"": ""2"", ""richtung"": ""1"", ""kurs"": ""3"", ""seq_von"": ""5"", ""seq_nach"": ""6"", ""fahrweg_id"": ""29829"", ""fw_no"": ""11"", ""fw_typ"": ""1"", ""fw_lang"": ""BEZI - BTIE für Ausfahrt""}"
1528,2228,CONNECTED_BY,"{""linie"": ""2"", ""richtung"": ""1"", ""kurs"": ""3"", ""seq_von"": ""4"", ""seq_nach"": ""5"", ""fahrweg_id"": ""29829"", ""fw_no"": ""11"", ""fw_typ"": ""1"", ""fw_lang"": ""BEZI - BTIE für Ausfahrt""}"
2657,1528,CONNECTED_BY,"{""linie"": ""2"", ""richtung"": ""1"", ""kurs"": ""3"", ""seq_von"": ""3"", ""seq_nach"": ""4"", ""fahrweg_id"": ""29829"", ""fw_no"": ""11"", ""fw_typ"": ""1"", ""fw_lang"": ""BEZI - BTIE für Ausfahrt""}"
2535,2770,CONNECTED_BY,"{""linie"": ""2"", ""richtung"": ""1"", ""kurs"": ""6"", ""seq_von"": ""3"", ""seq_nach"": ""4"", ""fahrweg_id"": ""31058"", ""fw_no"": ""1"", ""fw_typ"": ""1"", ""fw_lang"": ""FARB - BTIE""}"
2818,2535,CONNECTED_BY,"{""linie"": ""2"", ""richtung"": ""1"", ""kurs"": ""6"", ""seq_von"": ""2"", ""seq_nach"": ""3"", ""fahrweg_id"": ""31058"", ""fw_no"": ""1"", ""fw_typ"": ""1"", ""fw_lang"": ""FARB - BTIE""}"
1310,2818,CONNECTED_BY,"{""linie"": ""2"", ""richtung"": ""1"", ""kurs"": ""6"", ""seq_von"": ""1"", ""seq_nach"": ""2"", ""fahrweg_id"": ""31058"", ""fw_no"": ""1"", ""fw_typ"": ""1"", ""fw_lang"": ""FARB - BTIE""}"
2104,2612,CONNECTED_BY,"{""linie"": ""2"", ""richtung"": ""1"", ""kurs"": ""3"", ""seq_von"": ""8"", ""seq_nach"": ""9"", ""fahrweg_id"": ""29829"", ""fw_no"": ""11"", ""fw_typ"": ""1"", ""fw_lang"": ""BEZI - BTIE für Ausfahrt""}"
1565,2104,CONNECTED_BY,"{""linie"": ""2"", ""richtung"": ""1"", ""kurs"": ""3"", ""seq_von"": ""7"", ""seq_nach"": ""8"", ""fahrweg_id"": ""29829"", ""fw_no"": ""11"", ""fw_typ"": ""1"", ""fw_lang"": ""BEZI - BTIE für Ausfahrt""}"
2251,1906,CONNECTED_BY,"{""linie"": ""2"", ""richtung"": ""1"", ""kurs"": ""9"", ""seq_von"": ""1"", ""seq_nach"": ""2"", ""fahrweg_id"": ""28607"", ""fw_no"": ""15"", ""fw_typ"": ""2"", ""fw_lang"": ""DEP4 - KALK""}"
1502,2657,CONNECTED_BY,"{""linie"": ""2"", ""richtung"": ""1"", ""kurs"": ""5"", ""seq_von"": ""2"", ""seq_nach"": ""3"", ""fahrweg_id"": ""29829"", ""fw_no"": ""11"", ""fw_typ"": ""1"", ""fw_lang"": ""BEZI - BTIE für Ausfahrt""}"
1306,1502,CONNECTED_BY,"{""linie"": ""2"", ""richtung"": ""1"", ""kurs"": ""5"", ""seq_von"": ""1"", ""seq_nach"": ""2"", ""fahrweg_id"": ""29829"", ""fw_no"": ""11"", ""fw_typ"": ""1"", ""fw_lang"": ""BEZI - BTIE für Ausfahrt""}"
2250,2248,CONNECTED_BY,"{""linie"": ""2"", ""richtung"": ""1"", ""kurs"": ""6"", ""seq_von"": ""9"", ""seq_nach"": ""10"", ""fahrweg_id"": ""31058"", ""fw_no"": ""1"", ""fw_typ"": ""1"", ""fw_lang"": ""FARB - BTIE""}"
1535,2250,CONNECTED_BY,"{""linie"": ""2"", ""richtung"": ""1"", ""kurs"": ""6"", ""seq_von"": ""8"", ""seq_nach"": ""9"", ""fahrweg_id"": ""31058"", ""fw_no"": ""1"", ""fw_typ"": ""1"", ""fw_lang"": ""FARB - BTIE""}"
2245,1535,CONNECTED_BY,"{""linie"": ""2"", ""richtung"": ""1"", ""kurs"": ""6"", ""seq_von"": ""7"", ""seq_nach"": ""8"", ""fahrweg_id"": ""31058"", ""fw_no"": ""1"", ""fw_typ"": ""1"", ""fw_lang"": ""FARB - BTIE""}"
2253,2245,CONNECTED_BY,"{""linie"": ""2"", ""richtung"": ""1"", ""kurs"": ""6"", ""seq_von"": ""6"", ""seq_nach"": ""7"", ""fahrweg_id"": ""31058"", ""fw_no"": ""1"", ""fw_typ"": ""1"", ""fw_lang"": ""FARB - BTIE""}"
2244,2253,CONNECTED_BY,"{""linie"": ""2"", ""richtung"": ""1"", ""kurs"": ""6"", ""seq_von"": ""5"", ""seq_nach"": ""6"", ""fahrweg_id"": ""31058"", ""fw_no"": ""1"", ""fw_typ"": ""1"", ""fw_lang"": ""FARB - BTIE""}"
