id:ID,properties:JSON,:LABEL
373,"{""halt_diva"": ""6232"", ""halt_kurz"": ""FRAF07"", ""halt_lang"": ""Zürich Flughafen, Fracht"", ""halt_ist_aktiv"": ""True""}",Stop
588,"{""halt_diva"": ""3027"", ""halt_kurz"": ""FLUG07"", ""halt_lang"": ""Zürich Flughafen, Bahnhof"", ""halt_ist_aktiv"": ""True""}",Stop
701,"{""halt_diva"": ""1012"", ""halt_kurz"": ""GOLP"", ""halt_lang"": ""Zürich, Goldbrunnenplatz"", ""halt_ist_aktiv"": ""True""}",Stop
751,"{""halt_diva"": ""2758"", ""halt_kurz"": ""UNTR07"", ""halt_lang"": ""Glattbrugg, Unterriet"", ""halt_ist_aktiv"": ""True""}",Stop
1010,"{""halt_diva"": ""2160"", ""halt_kurz"": ""SCHA"", ""halt_lang"": ""Zürich, Schaufelbergerstrasse"", ""halt_ist_aktiv"": ""True""}",Stop
1270,"{""halt_diva"": ""2680"", ""halt_kurz"": ""TRIE"", ""halt_lang"": ""Zürich, Triemli"", ""halt_ist_aktiv"": ""True""}",Stop
1305,"{""halt_diva"": ""1472"", ""halt_kurz"": ""KUNS"", ""halt_lang"": ""Zürich, Kunsthaus"", ""halt_ist_aktiv"": ""True"", ""halt_punkt_diva"": ""64"", ""halt_id"": ""588"", ""GPS_Latitude"": ""47,449808"", ""GPS_Longitude"": ""8,563778"", ""GPS_Bearing"": ""220"", ""halt_punkt_ist_aktiv"": ""False""}",StopPoint
1306,"{""halt_diva"": ""478"", ""halt_kurz"": ""BEZI"", ""halt_lang"": ""Zürich, Bezirksgebäude"", ""halt_ist_aktiv"": ""True"", ""halt_punkt_diva"": ""52"", ""halt_id"": ""588"", ""GPS_Latitude"": ""47,450645"", ""GPS_Longitude"": ""8,563769"", ""GPS_Bearing"": ""310"", ""halt_punkt_ist_aktiv"": ""True""}",StopPoint
1308,"{""halt_diva"": ""736"", ""halt_kurz"": ""ETHZ"", ""halt_lang"": ""Zürich, ETH/Universitätsspital"", ""halt_ist_aktiv"": ""True"", ""halt_punkt_diva"": ""54"", ""halt_id"": ""588"", ""GPS_Latitude"": ""47,450510"", ""GPS_Longitude"": ""8,563779"", ""GPS_Bearing"": ""299"", ""halt_punkt_ist_aktiv"": ""False""}",StopPoint
1309,"{""halt_diva"": ""564"", ""halt_kurz"": ""BUCH"", ""halt_lang"": ""Zürich, Bucheggplatz"", ""halt_ist_aktiv"": ""True"", ""halt_punkt_diva"": ""62"", ""halt_id"": ""588"", ""GPS_Latitude"": ""47,449910"", ""GPS_Longitude"": ""8,563919"", ""GPS_Bearing"": ""240"", ""halt_punkt_ist_aktiv"": ""False""}",StopPoint
1310,"{""halt_diva"": ""821"", ""halt_kurz"": ""FARB"", ""halt_lang"": ""Zürich, Farbhof"", ""halt_ist_aktiv"": ""True""}",Stop
1311,"{""halt_diva"": ""2572"", ""halt_kurz"": ""SOER"", ""halt_lang"": ""Zürich, Sternen Oerlikon"", ""halt_ist_aktiv"": ""True""}",Stop
1377,"{""halt_diva"": ""6506"", ""halt_kurz"": ""BABH07"", ""halt_lang"": ""Kloten Balsberg, Bahnhof"", ""halt_ist_aktiv"": ""True""}",Stop
1378,"{""halt_diva"": ""6507"", ""halt_kurz"": ""RBAU07"", ""halt_lang"": ""Rümlang, Bäuler"", ""halt_ist_aktiv"": ""True""}",Stop
1379,"{""halt_diva"": ""6508"", ""halt_kurz"": ""GLIN07"", ""halt_lang"": ""Glattbrugg, Lindberghplatz"", ""halt_ist_aktiv"": ""True""}",Stop
