subjectName:ID,:LABEL
100% renewable energy,Subject
2019 novel coronavirus,Subject
2019-nCoV,Subject
ACAAN,Subject
ACNUR,Subject
Abnormal energy expenditure,Subject
Abraham Lincoln,Subject
Acadia,Subject
Accumulator (energy),Subject
Achomawi,Subject
Acoma,Subject
Acoma Pueblo Reservation,Subject
Acoustic energy,Subject
Activation energy,Subject
Active LIDAR-sensor for GHG-measurements,Subject
Acuerdo de Libre Comercio Canadá-Estados Unidos (ALC),Subject
Adsorption energy,Subject
Advanced Take Off and Landing Ideas,Subject
Advanced driver assistance systems,Subject
Advisory Council for Aeronautics Research in Europe,Subject
African American,Subject
African Candians,Subject
Afro- Latinidad,Subject
Afro-Latino,Subject
Agua Caliente Indian Reservation,Subject
Air Cargo Advance Screening (ACAS),Subject
Air Force Intelligence,Subject
Air Traffic Control,Subject
Air pollution,Subject
Air quality,Subject
Air transport,Subject
Aircraft specific energy,Subject
Alabama,Subject
Alabama-Coushatta Reservation,Subject
Alanis Obomsawin,Subject
Alaska,Subject
Albany Congress,Subject
Alberta,Subject
Alexa Ann McDonough,Subject
Alexander Hamilton,Subject
Alianza para la Seguridad y la Prosperidad de América del Norte (ASPAN),Subject
Allegany Reservation,Subject
Alliance for Logistics Innovation through Collaboration in Europe,Subject
Alternative Aircraft Systems,Subject
Alternative aircraft configurations,Subject
Alternative energy,Subject
Alternative fuels in public transport,Subject
Alturas Indian Rancheria,Subject
AmCham,Subject
AmCham/Mexico,Subject
Ambient energy,Subject
America,Subject
America First,Subject
American,Subject
American Cultural Industries,Subject
American Culture,Subject
American Dream,Subject
American Higher Education,Subject
American History,Subject
American Immigration Council,Subject
American Indigenous People,Subject
American Literature,Subject
American New Religion,Subject
American Petroleum Instltute,Subject
American Political Science,Subject
American Politics,Subject
American Propaganda,Subject
American Republic,Subject
American Republicanism,Subject
American Revolution,Subject
American Revolutionary War,Subject
American Samoa,Subject
American Sociology,Subject
American Student Revolt,Subject
American Studies,Subject
American Universities,Subject
American War of Independence,Subject
American Writers,Subject
American and Mexican,Subject
Americanism,Subject
Americanity,Subject
Americas,Subject
Ancestral Languages,Subject
Andrew Jackson,Subject
Andrew Johnson,Subject
Annette Island Reserve,Subject
Anti-Black racism,Subject
Anti-Geldwäsche,Subject
Anti-money laundering,Subject
Apache,Subject
Aquifer thermal energy storage,Subject
ArcGIS,Subject
Ari-Baja,Subject
AriBaja,Subject
Arikara,Subject
Arizona,Subject
Arizona Dream Act Coalition,Subject
Arkansas,Subject
Artificial Intelligence,Subject
Arts and Humanities,Subject
Arts and Humanities General,Subject
Arzneipflanzen,Subject
Asian Americans,Subject
Assembly of First Nations,Subject
Assiniboine,Subject
Astronomy,Subject
Astrophysics,Subject
Asylum System in Canada,Subject
Asylum System in the United States,Subject
Atlantic Slave Trade,Subject
Atmosphere,Subject
Atmospheric,Subject
Atomic Energy Act,Subject
Atomic energy commission,Subject
Auburn Rancheria,Subject
Audrey Marlene McLaughlin,Subject
Augustine Reservation,Subject
Automated Driving,Subject
Automated Road Transport,Subject
Automated ships,Subject
Automated urban vehicles,Subject
Automedicación,Subject
Autonomous logistics operations,Subject
Available energy,Subject
Bad River Reservation,Subject
Balance energy,Subject
Baptists,Subject
Barack Obama,Subject
Barona Reservation,Subject
Bathymetry,Subject
Battery energy,Subject
Battery energy storage,Subject
Battery energy storage system,Subject
Battle Mountain Reservation,Subject
Battles of Lexington and Concord,Subject
Bay Mills Reservation,Subject
Befreiungstheologie,Subject
Ben Shapiro,Subject
Benjamin Franklin,Subject
Benjamin Harrison,Subject
Benjamín Rush,Subject
Benton Paiute Reservation,Subject
Berry Creek Rancheria,Subject
Besondere Bevölkerungsgruppen,Subject
Biden Administration,Subject
Big Bend Rancheria,Subject
Big Cypress Reservation,Subject
Big Lagoon Rancheria,Subject
Big Pine Reservation,Subject
Big Sandy Rancheria,Subject
Big Valley Rancheria,Subject
Bilateral Relations Canada and Unites States,Subject
Bilateral Relations Mexico and Canada,Subject
Bill Clinton,Subject
Bill of Rights,Subject
Binding energy,Subject
Bio-energy with carbon capture and storage,Subject
Bioelectric Energy Sources,Subject
Bioenergy,Subject
Bioenergy village,Subject
Biomedical digital twin,Subject
Bishop Reservation,Subject
Bitcoin,Subject
Bitterroot Salish,Subject
Black Canada,Subject
Black Canadian Studies,Subject
Black Indians,Subject
Black Latinidad,Subject
Black Lives Matter,Subject
Black Maple,Subject
Black Migration,Subject
Black Seminoles,Subject
BlackLivesMatter,Subject
BlackRock,Subject
Blackfeet,Subject
Blackfeet Indian Reservation,Subject
Blackness,Subject
Blanquidad,Subject
Blockchain,Subject
Bloom Energy,Subject
Blue Lake Rancheria,Subject
Blue card,Subject
Bois Forte Reservation,Subject
Border Cinema,Subject
Border Mexico-US,Subject
Border Patrol,Subject
Boston,Subject
Boston Tea Party,Subject
Bottom-up energy modelling,Subject
Boundary energy,Subject
Brian Kemp,Subject
Bridgeport Reservation,Subject
Brighton Reservation,Subject
British Columbia,Subject
British North America Act,Subject
Bronson Alcott,Subject
Brookings,Subject
Brown Brawns,Subject
Buena Vista Rancheria Trust Land,Subject
Building energy,Subject
Building energy analysis,Subject
Building energy needs,Subject
Building energy simulation,Subject
Burns Paiute Indian Colony,Subject
Business Energy Investment Tax Credit,Subject
Business model for urban mobility,Subject
Business plan for shared mobility,Subject
CAAS,Subject
CANADIAN OMBUDSPERSON FOR RESPONSIBLE ENTERPRISE,Subject
